word,colour,stim_condition,correct_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,fixation.started,key_resp.started,text.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,text.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
BLUE,blue,C,b,5,5,45,5,,369.3005184000358,369.3005184000358,369.7983511000057,369.81508040003246,b,1,1.1575285000144504,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,blue,I,b,5,6,46,7,,370.4815420000232,370.4815420000232,370.981998800009,370.981998800009,b,1,2.2016011999803595,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,red,I,r,5,7,47,2,,372.7149597000098,372.7149597000098,373.21503790002316,373.21503790002316,r,1,2.0687718999688514,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,purple,C,p,6,0,48,6,,374.81527110002935,374.81527110002935,375.3150466000079,375.3150466000079,p,1,1.2812090000370517,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,orange,C,o,6,1,49,3,,376.14567320002243,376.14567320002243,376.6485552000231,376.6485552000231,o,1,1.7686507999897003,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,orange,I,o,6,2,50,1,,377.9317923000199,377.9317923000199,378.43176910001785,378.43176910001785,o,1,2.1415153999696486,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,red,C,r,6,3,51,0,,380.09841289999895,380.09841289999895,380.5984411999816,380.5984411999816,r,1,1.5043969000107609,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,red,I,r,6,4,52,2,,381.63174510002136,381.63174510002136,382.1318839000305,382.1318839000305,r,1,1.6830838999594562,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,blue,I,b,6,5,53,7,,383.3329077999806,383.3329077999806,383.83194420003565,383.8485257999855,b,1,1.5498556999955326,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
BLUE,purple,I,p,6,6,54,4,,384.8986654999899,384.8986654999899,385.39842420001514,385.39842420001514,p,1,1.5956253000185825,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
